,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
0,Acne,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
3,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
5,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
6,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
7,Arthritis,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
9,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
10,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
12,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
13,Psoriasis,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
14,Alcoholic hepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
15,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
16,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
17,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
18,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
19,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
20,Bronchial Asthma,4,4,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
21,hepatitis A,3,5,3,4,5,4,6,5,4,2,0,0,0,0,0,0,0
22,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
23,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
24,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Hepatitis C,4,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0
26,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
